module_id,module_name,prior_claim,evidence_available,corrected_claim,qualification,registry_derived,result,implementation_status,known_answer_verification_status,boundary_test_status,band_source_status,calibration_status,empirical_validation_status,canonical_structure_status,voting_status,permitted_claim
B4.5,Decision Sensitivity Matrix,no per-module claim (disabled),known answer: none in the repository; boundary: none in the repository; calibration: not calibrated; no calibration set exists in this repository; empirical: not empirically validated; no comparison against real project outcomes exists,No claim. The module is disabled and does not compute.,Not validated and not calibrated. No empirical evidence of predictive performance is held for this module.,yes,NO CLAIM,"disabled: concept only, refused before its formula is reached",none in the repository,none in the repository,band boundaries sourced or definitional; see the module's band note,not calibrated; no calibration set exists in this repository,not empirically validated; no comparison against real project outcomes exists,not required by this module,does not vote,No claim. The module is disabled and does not compute.
B4.6,Pareto Frontier Analysis,no per-module claim (disabled),known answer: none in the repository; boundary: none in the repository; calibration: not calibrated; no calibration set exists in this repository; empirical: not empirically validated; no comparison against real project outcomes exists,No claim. The module is disabled and does not compute.,Not validated and not calibrated. No empirical evidence of predictive performance is held for this module.,yes,NO CLAIM,"disabled: concept only, refused before its formula is reached",none in the repository,none in the repository,band boundaries sourced or definitional; see the module's band note,not calibrated; no calibration set exists in this repository,not empirically validated; no comparison against real project outcomes exists,not required by this module,does not vote,No claim. The module is disabled and does not compute.
B4.7,Regret Minimization Index,unqualified 'Validated by ...' in the handbook accreditation basis,known answer: known-answer case in the Run 6 suite; boundary: none in the repository; calibration: not calibrated; no calibration set exists in this repository; empirical: not empirically validated; no comparison against real project outcomes exists,Arithmetic independently verified for the stated formula.,Not validated and not calibrated. No empirical evidence of predictive performance is held for this module.,yes,CORRECTED,implemented and computed by the server,known-answer case in the Run 6 suite,none in the repository,band boundaries sourced or definitional; see the module's band note,not calibrated; no calibration set exists in this repository,not empirically validated; no comparison against real project outcomes exists,not required by this module,does not vote,Arithmetic independently verified for the stated formula.
C1.1,Missing Data Index,unqualified 'Validated by ...' in the handbook accreditation basis,known answer: known-answer case in the Run 6 suite; boundary: none in the repository; calibration: not calibrated; no calibration set exists in this repository; empirical: not empirically validated; no comparison against real project outcomes exists,Arithmetic independently verified for the stated formula.,Not validated and not calibrated. No empirical evidence of predictive performance is held for this module.,yes,CORRECTED,implemented and computed by the server,known-answer case in the Run 6 suite,none in the repository,band boundaries sourced or definitional; see the module's band note,not calibrated; no calibration set exists in this repository,not empirically validated; no comparison against real project outcomes exists,not required by this module,does not vote,Arithmetic independently verified for the stated formula.
C1.2,Data Timeliness Score,unqualified 'Validated by ...' in the handbook accreditation basis,known answer: known-answer case in the Run 6 suite; boundary: none in the repository; calibration: not calibrated; no calibration set exists in this repository; empirical: not empirically validated; no comparison against real project outcomes exists,Arithmetic independently verified for the stated formula.,Not validated and not calibrated. No empirical evidence of predictive performance is held for this module.,yes,CORRECTED,implemented and computed by the server,known-answer case in the Run 6 suite,none in the repository,band boundaries sourced or definitional; see the module's band note,not calibrated; no calibration set exists in this repository,not empirically validated; no comparison against real project outcomes exists,not required by this module,does not vote,Arithmetic independently verified for the stated formula.
C1.3,Source Reliability Weighting,unqualified 'Validated by ...' in the handbook accreditation basis,known answer: known-answer case in the Run 6 suite; boundary: none in the repository; calibration: not calibrated; no calibration set exists in this repository; empirical: not empirically validated; no comparison against real project outcomes exists,Arithmetic independently verified for the stated formula.,Not validated and not calibrated. No empirical evidence of predictive performance is held for this module.,yes,CORRECTED,implemented and computed by the server,known-answer case in the Run 6 suite,none in the repository,band boundaries sourced or definitional; see the module's band note,not calibrated; no calibration set exists in this repository,not empirically validated; no comparison against real project outcomes exists,not required by this module,does not vote,Arithmetic independently verified for the stated formula.
C1.4,Audit Trail Completeness,unqualified 'Validated by ...' in the handbook accreditation basis,known answer: known-answer case in the Run 6 suite; boundary: none in the repository; calibration: not calibrated; no calibration set exists in this repository; empirical: not empirically validated; no comparison against real project outcomes exists,Arithmetic independently verified for the stated formula.,Not validated and not calibrated. No empirical evidence of predictive performance is held for this module.,yes,CORRECTED,implemented and computed by the server,known-answer case in the Run 6 suite,none in the repository,band boundaries sourced or definitional; see the module's band note,not calibrated; no calibration set exists in this repository,not empirically validated; no comparison against real project outcomes exists,not required by this module,does not vote,Arithmetic independently verified for the stated formula.
C1.5,Information Completeness Ratio,unqualified 'Validated by ...' in the handbook accreditation basis,known answer: known-answer case in the Run 6 suite; boundary: none in the repository; calibration: not calibrated; no calibration set exists in this repository; empirical: not empirically validated; no comparison against real project outcomes exists,Arithmetic independently verified for the stated formula.,Not validated and not calibrated. No empirical evidence of predictive performance is held for this module.,yes,CORRECTED,implemented and computed by the server,known-answer case in the Run 6 suite,none in the repository,band boundaries sourced or definitional; see the module's band note,not calibrated; no calibration set exists in this repository,not empirically validated; no comparison against real project outcomes exists,not required by this module,does not vote,Arithmetic independently verified for the stated formula.
C1.6,Cross-document Consistency Score,unqualified 'Validated by ...' in the handbook accreditation basis,known answer: known-answer case in the Run 6 suite; boundary: none in the repository; calibration: not calibrated; no calibration set exists in this repository; empirical: not empirically validated; no comparison against real project outcomes exists,Arithmetic independently verified for the stated formula.,Not validated and not calibrated. No empirical evidence of predictive performance is held for this module.,yes,CORRECTED,implemented and computed by the server,known-answer case in the Run 6 suite,none in the repository,band boundaries sourced or definitional; see the module's band note,not calibrated; no calibration set exists in this repository,not empirically validated; no comparison against real project outcomes exists,not required by this module,does not vote,Arithmetic independently verified for the stated formula.
C1.7,Reporting Frequency Index,unqualified 'Validated by ...' in the handbook accreditation basis,known answer: known-answer case in the Run 6 suite; boundary: none in the repository; calibration: not calibrated; no calibration set exists in this repository; empirical: not empirically validated; no comparison against real project outcomes exists,Arithmetic independently verified for the stated formula.,Not validated and not calibrated. No empirical evidence of predictive performance is held for this module.,yes,CORRECTED,implemented and computed by the server,known-answer case in the Run 6 suite,none in the repository,band boundaries sourced or definitional; see the module's band note,not calibrated; no calibration set exists in this repository,not empirically validated; no comparison against real project outcomes exists,not required by this module,does not vote,Arithmetic independently verified for the stated formula.
D1.1,Isolation Forest,unqualified 'Validated by ...' in the handbook accreditation basis,known answer: known-answer case in the Run 6 suite; boundary: none in the repository; calibration: not calibrated; no calibration set exists in this repository; empirical: not empirically validated; no comparison against real project outcomes exists,Arithmetic independently verified for the stated formula.,Not validated and not calibrated. No empirical evidence of predictive performance is held for this module.,yes,CORRECTED,implemented and computed by the server,known-answer case in the Run 6 suite,none in the repository,band boundaries sourced or definitional; see the module's band note,not calibrated; no calibration set exists in this repository,not empirically validated; no comparison against real project outcomes exists,not required by this module,does not vote,Arithmetic independently verified for the stated formula.
D1.2,Portfolio Outlier Detection,unqualified 'Validated by ...' in the handbook accreditation basis,known answer: known-answer case in the Run 6 suite; boundary: none in the repository; calibration: not calibrated; no calibration set exists in this repository; empirical: not empirically validated; no comparison against real project outcomes exists,Arithmetic independently verified for the stated formula.,Not validated and not calibrated. No empirical evidence of predictive performance is held for this module. Stated proxy: an empirical CPI and SPI percentile rank; small-n behaviour and bands unvalidated.,yes,CORRECTED,implemented and computed by the server,known-answer case in the Run 6 suite,none in the repository,stated proxy qualifier present,not calibrated; no calibration set exists in this repository,not empirically validated; no comparison against real project outcomes exists,not required by this module,does not vote,Arithmetic independently verified for the stated formula.
D1.3,Signal Trajectory Classifier,unqualified 'Validated by ...' in the handbook accreditation basis,known answer: known-answer case in the Run 6 suite; boundary: none in the repository; calibration: not calibrated; no calibration set exists in this repository; empirical: not empirically validated; no comparison against real project outcomes exists,Arithmetic independently verified for the stated formula.,Not validated and not calibrated. No empirical evidence of predictive performance is held for this module.,yes,CORRECTED,implemented and computed by the server,known-answer case in the Run 6 suite,none in the repository,band boundaries sourced or definitional; see the module's band note,not calibrated; no calibration set exists in this repository,not empirically validated; no comparison against real project outcomes exists,not required by this module,does not vote,Arithmetic independently verified for the stated formula.
D1.4,Cross-project Pattern Detector,unqualified 'Validated by ...' in the handbook accreditation basis,known answer: known-answer case in the Run 6 suite; boundary: none in the repository; calibration: not calibrated; no calibration set exists in this repository; empirical: not empirically validated; no comparison against real project outcomes exists,Arithmetic independently verified for the stated formula.,Not validated and not calibrated. No empirical evidence of predictive performance is held for this module.,yes,CORRECTED,implemented and computed by the server,known-answer case in the Run 6 suite,none in the repository,band boundaries sourced or definitional; see the module's band note,not calibrated; no calibration set exists in this repository,not empirically validated; no comparison against real project outcomes exists,not required by this module,does not vote,Arithmetic independently verified for the stated formula.
D1.5,Anomaly Score,unqualified 'Validated by ...' in the handbook accreditation basis,known answer: known-answer case in the Run 6 suite; boundary: none in the repository; calibration: not calibrated; no calibration set exists in this repository; empirical: not empirically validated; no comparison against real project outcomes exists,Arithmetic independently verified for the stated formula.,Not validated and not calibrated. No empirical evidence of predictive performance is held for this module.,yes,CORRECTED,implemented and computed by the server,known-answer case in the Run 6 suite,none in the repository,band boundaries sourced or definitional; see the module's band note,not calibrated; no calibration set exists in this repository,not empirically validated; no comparison against real project outcomes exists,not required by this module,does not vote,Arithmetic independently verified for the stated formula.
